Name,Age,Gender,Phone,EmailID,City,Location,Grade_10,Grade_12,JEE,CUET,Stream
Ishaan Wilson,17,Male,915338792839,ishaanwilson@gmail.com,Bengaluru,Semi-Urban,56.22,57.7,148.16,668.84,B.Tech Civil
Ishaan Johnson,18,Male,914098866611,ishaanjohnson@gmail.com,Sydney,Rural,93.64,92.23,187.66,645.15,B.Tech ECE
Shaurya Brown,20,Female,916100898761,shauryabrown@gmail.com,Mumbai,Semi-Urban,54.18,64.77,174.53,718.74,B.Tech Mechanical
Krishna Johnson,18,Male,915256599508,krishnajohnson@gmail.com,Dubai,Urban,63.81,58.2,146.53,492.62,B.Sc Data Science
Atharv Sharma,19,Male,918812988618,atharvsharma@gmail.com,Bengaluru,Urban,82.44,74.42,283.08,555.21,B.Tech ECE
Sai Miller,20,Male,915302618402,saimiller@gmail.com,New York,Rural,90.65,95.36,101.19,762.74,B.Tech Mechanical
Ishaan Wilson,18,Female,913268578105,ishaanwilson@gmail.com,Delhi,Rural,90.73,77.22531926406927,260.44,719.07,B.Tech CS
Ishaan Verma,18,Male,915749213860,ishaanverma@gmail.com,London,Semi-Urban,59.35,80.57,253.3,715.19,B.Tech CS
Vivaan Johnson,18,Female,912913675916,vivaanjohnson@gmail.com,Ahmedabad,Rural,84.69,,299.23,786.67,B.Tech CS
Vihaan Singh,20,Male,914416762187,vihaansingh@gmail.com,Ahmedabad,Urban,51.03,70.35,199.96,452.19,B.Sc Data Science
Krishna Johnson,20,Female,910903802146,krishnajohnson@gmail.com,Bengaluru,Semi-Urban,86.96,64.65,100.0,100.0,BCA
Krishna Patel,19,Male,910857383855,krishnapatel@gmail.com,Ahmedabad,Rural,97.73,62.98,251.32,790.72,B.Tech CS
Sai Verma,18,Female,916064413432,saiverma@gmail.com,Toronto,Semi-Urban,,100.0,,100.0,BCA
Aarav Khan,19,Male,912124402936,aaravkhan@gmail.com,Hyderabad,Rural,82.2,89.71,104.41,500.21,B.Sc Data Science
Ishaan Sharma,20,Female,910139939256,ishaansharma@gmail.com,Toronto,Semi-Urban,96.52,99.99,195.63,708.63,B.Tech CS
Arjun Miller,18,Male,912124302583,arjunmiller@gmail.com,Hyderabad,Semi-Urban,50.83,69.99,114.6,454.03,B.Sc IT
Vihaan Singh,20,Female,910061693847,vihaansingh@gmail.com,Hyderabad,Semi-Urban,53.65,,,599.31,B.Tech Civil
Shaurya Singh,17,Female,917735031884,shauryasingh@gmail.com,Dubai,Rural,100.0,67.2,100.0,100.0,BCA
Atharv Sharma,17,Male,910138859787,atharvsharma@gmail.com,Hyderabad,Semi-Urban,69.36,77.22531926406927,100.0,100.0,BCA
Arjun Miller,19,Male,912604223253,arjunmiller@gmail.com,London,Rural,57.11,81.62,225.56,550.07,B.Tech Civil
Atharv Verma,19,Female,910497236694,atharvverma@gmail.com,London,Urban,72.27,75.09,291.09,441.75,B.Tech Mechanical
Arjun Patel,20,Female,911022058359,arjunpatel@gmail.com,New York,Semi-Urban,73.83,77.64,104.29,613.16,B.Tech Civil
Aditya Brown,17,Male,913083566910,adityabrown@gmail.com,London,Urban,84.25,53.63,288.06,485.14,B.Tech Mechanical
Vihaan Khan,18,Female,913087244783,vihaankhan@gmail.com,Dubai,Semi-Urban,62.42,84.3,,100.0,BCA
Ishaan Sharma,19,Male,913331883845,ishaansharma@gmail.com,London,Semi-Urban,88.3,54.12,172.01,594.75,B.Tech Civil
Vivaan Wilson,19,Male,917601832579,vivaanwilson@gmail.com,Sydney,Urban,98.28,69.22,171.02,666.81,B.Tech Mechanical
Shaurya Miller,18,Male,919830922133,shauryamiller@gmail.com,Toronto,Urban,62.65,66.1,,,B.Tech Civil
Shaurya Wilson,19,Male,917751536720,shauryawilson@gmail.com,Dubai,Rural,93.07,87.43,170.74,730.75,B.Tech CS
Aarav Wilson,17,Female,914736015791,aaravwilson@gmail.com,Delhi,Rural,51.86,85.1,108.77,558.79,B.Sc Data Science
Shaurya Khan,19,Male,916734785369,shauryakhan@gmail.com,Sydney,Semi-Urban,,,,613.48,B.Tech ECE
Atharv Johnson,17,Male,914093362724,atharvjohnson@gmail.com,Ahmedabad,Rural,91.45,59.28,171.88,503.6,B.Sc Data Science
Shaurya Patel,20,Male,910402966299,shauryapatel@gmail.com,Delhi,Rural,,74.27,290.26,,B.Tech CS
Aditya Johnson,18,Male,916678498436,adityajohnson@gmail.com,Bengaluru,Rural,98.66,76.08,295.59,450.05,B.Tech Mechanical
Aditya Singh,18,Female,916390742663,adityasingh@gmail.com,Hyderabad,Semi-Urban,,,134.88,611.1,B.Tech Civil
Aditya Verma,19,Female,911343320037,adityaverma@gmail.com,Dubai,Urban,77.56548998375746,100.0,100.0,100.0,BCA
Aarav Verma,17,Male,917042259332,aaravverma@gmail.com,Hyderabad,Semi-Urban,54.29,65.23,142.44,562.51,B.Sc Data Science
Shaurya Patel,17,Female,913651189394,shauryapatel@gmail.com,Mumbai,Rural,99.82,100.0,100.0,100.0,BCA
Atharv Verma,19,Male,911938415311,atharvverma@gmail.com,Sydney,Semi-Urban,58.38,52.69,264.41,431.87,B.Tech Civil
Ishaan Singh,20,Female,919522499498,ishaansingh@gmail.com,Hyderabad,Semi-Urban,77.56548998375746,51.49,189.76,627.54,B.Tech Civil
Atharv Brown,18,Female,912658263128,atharvbrown@gmail.com,Delhi,Semi-Urban,78.85,69.6,252.43,766.67,B.Tech CS
Krishna Brown,17,Female,918962980568,krishnabrown@gmail.com,Bengaluru,Urban,54.26,82.94,149.2,774.1,B.Tech ECE
Vivaan Khan,17,Male,910766170616,vivaankhan@gmail.com,London,Semi-Urban,100.0,77.22531926406927,100.0,100.0,BCA
Shaurya Johnson,20,Male,913033500376,shauryajohnson@gmail.com,Mumbai,Urban,91.33,77.22531926406927,165.54,483.44,B.Tech Civil
Vihaan Patel,20,Male,917462268975,vihaanpatel@gmail.com,Hyderabad,Urban,53.84,94.09,132.7,504.06,B.Sc Data Science
Aditya Johnson,17,Female,919543124674,adityajohnson@gmail.com,Mumbai,Semi-Urban,50.21,80.9,101.29,520.29,B.Sc IT
Arjun Taylor,17,Female,915210203887,arjuntaylor@gmail.com,Mumbai,Semi-Urban,72.6,62.34,249.15,571.81,B.Tech Mechanical
Vihaan Miller,20,Male,914590099217,vihaanmiller@gmail.com,Toronto,Semi-Urban,52.35,65.78,212.05,570.09,B.Tech Civil
Krishna Sharma,20,Female,917871924972,krishnasharma@gmail.com,London,Rural,67.08,94.02,112.83,769.37,B.Tech ECE
Aditya Taylor,17,Female,917985158328,adityataylor@gmail.com,Delhi,Semi-Urban,57.97,77.15,180.68,539.76,B.Tech Civil
Ishaan Brown,17,Female,912746003410,ishaanbrown@gmail.com,New York,Semi-Urban,100.0,94.85,,100.0,BCA
Aditya Verma,20,Female,918545747706,adityaverma@gmail.com,Mumbai,Semi-Urban,88.49,89.74,247.53,620.85,B.Tech ECE
Ishaan Brown,17,Female,912746003410,ishaanbrown@gmail.com,New York,Semi-Urban,100.0,94.85,,100.0,BCA
Sai Singh,18,Female,918841834374,saisingh@gmail.com,Mumbai,Urban,75.85,81.56,,586.9,B.Tech Mechanical
Sai Sharma,20,Male,915130696721,saisharma@gmail.com,Bengaluru,Semi-Urban,55.34,69.41,148.47,579.96,B.Sc Data Science
Arjun Johnson,20,Male,916025637811,arjunjohnson@gmail.com,Dubai,Rural,70.44,77.22531926406927,100.0,100.0,BCA
Ishaan Singh,18,Male,912551741925,ishaansingh@gmail.com,Sydney,Urban,81.47,92.15,280.65,732.59,B.Tech CS
Vivaan Verma,19,Female,916816096405,vivaanverma@gmail.com,Toronto,Semi-Urban,74.67,71.39,105.49,709.2,B.Tech Civil
Vihaan Wilson,20,Female,917476911612,vihaanwilson@gmail.com,Bengaluru,Urban,90.62,52.21,250.91,690.81,B.Tech CS
Sai Taylor,19,Male,916271810631,saitaylor@gmail.com,Dubai,Semi-Urban,68.31,63.79,208.65,572.76,B.Tech Civil
Vivaan Patel,17,Female,912441850166,vivaanpatel@gmail.com,Ahmedabad,Semi-Urban,53.95,91.09,103.66,645.0,B.Tech Civil
Ishaan Brown,19,Male,919848282410,ishaanbrown@gmail.com,Mumbai,Semi-Urban,,77.22531926406927,107.82,791.22,B.Tech Mechanical
Shaurya Johnson,17,Male,915502130609,shauryajohnson@gmail.com,Mumbai,Rural,88.43,55.98,144.9,651.31,B.Tech Civil
Vihaan Patel,19,Male,914213957965,vihaanpatel@gmail.com,London,Urban,96.59,94.54,100.0,100.0,BCA
Arjun Taylor,19,Male,916460715006,arjuntaylor@gmail.com,London,Rural,100.0,93.43,100.0,100.0,BCA
Vihaan Johnson,18,Female,913821462922,vihaanjohnson@gmail.com,Bengaluru,Urban,97.31,92.71,139.36,688.29,B.Tech Mechanical
Arjun Patel,17,Male,915944102387,arjunpatel@gmail.com,Hyderabad,Rural,99.61,76.86,249.54,,B.Tech CS
Krishna Johnson,19,Female,910262180603,krishnajohnson@gmail.com,London,Urban,58.49,84.24,247.94,619.95,B.Tech ECE
Aditya Miller,19,Male,918173598488,adityamiller@gmail.com,Ahmedabad,Semi-Urban,51.09,88.61,113.6,714.36,B.Tech Civil
Aditya Wilson,19,Female,912133459582,adityawilson@gmail.com,Dubai,Rural,98.1,96.84,179.55,425.57,B.Tech Civil
Aarav Miller,20,Male,916814416661,aaravmiller@gmail.com,Delhi,Rural,,84.24,267.05,,B.Tech Mechanical
Vihaan Patel,17,Female,917998136462,vihaanpatel@gmail.com,Bengaluru,Rural,,78.57,109.86,559.68,B.Sc Data Science
Aditya Johnson,18,Male,911126421815,adityajohnson@gmail.com,Ahmedabad,Rural,88.41,98.73,201.04,,B.Tech Civil
Vivaan Khan,18,Female,910621461335,vivaankhan@gmail.com,Ahmedabad,Rural,77.56548998375746,96.19,100.0,100.0,BCA
Krishna Khan,18,Male,911546121491,krishnakhan@gmail.com,Bengaluru,Semi-Urban,59.1,99.89,,670.71,B.Tech CS
Vivaan Wilson,19,Female,918634549642,vivaanwilson@gmail.com,Bengaluru,Urban,70.8,91.37,213.56,704.02,B.Tech CS
Sai Khan,17,Female,917910537256,saikhan@gmail.com,New York,Rural,61.2,60.42,139.58,502.94,B.Sc Data Science
Vivaan Brown,18,Female,911492075741,vivaanbrown@gmail.com,Ahmedabad,Urban,64.95,90.54,265.35,633.13,B.Tech CS
Aditya Johnson,18,Female,918280092053,adityajohnson@gmail.com,London,Rural,,81.65,,570.53,B.Tech Civil
Aditya Khan,19,Male,915677125158,adityakhan@gmail.com,Dubai,Semi-Urban,52.17,63.12,284.61,740.34,B.Tech CS
Aditya Verma,19,Female,917486374703,adityaverma@gmail.com,Mumbai,Urban,,62.17,271.72,570.99,B.Tech ECE
Ishaan Sharma,18,Female,917287156596,ishaansharma@gmail.com,Dubai,Rural,73.13,95.83,233.56,518.33,B.Tech Mechanical
Ishaan Khan,18,Male,911259822189,ishaankhan@gmail.com,Sydney,Rural,89.53,55.5,290.61,673.38,B.Tech CS
Aditya Verma,18,Male,911482414304,adityaverma@gmail.com,Ahmedabad,Rural,77.56548998375746,89.22,100.0,100.0,BCA
Vivaan Patel,18,Female,912669806908,vivaanpatel@gmail.com,Toronto,Urban,69.9,55.89,,,B.Tech CS
Matthew Singh,19,Male,367107923595,matthewsingh@gmail.com,Mumbai,Rural,77.56548998375746,,230.94,548.67,B.Tech Mechanical
Ishaan Singh,20,Female,919909133412,ishaansingh@gmail.com,Hyderabad,Urban,77.6,57.83,181.7,675.75,B.Tech Mechanical
Krishna Sharma,18,Female,915328315307,krishnasharma@gmail.com,Mumbai,Rural,94.6,89.9,120.88,416.98,B.Sc Data Science
Vihaan Khan,17,Male,919251864704,vihaankhan@gmail.com,Sydney,Rural,,65.88,134.11,,B.Sc IT
Vivaan Patel,18,Male,912232087385,vivaanpatel@gmail.com,Toronto,Urban,97.06,87.84,243.91,521.76,B.Tech Mechanical
Arjun Sharma,18,Female,910769555935,arjunsharma@gmail.com,New York,Semi-Urban,75.54,92.94,201.56,684.72,B.Tech CS
Oliver Patel,18,Male,896356887955,oliverpatel@gmail.com,Mumbai,Urban,90.95,77.22531926406927,,,B.Tech Civil
Ishaan Khan,19,Male,916068447067,ishaankhan@gmail.com,Ahmedabad,Urban,80.44,53.17,131.38,411.96,B.Sc IT
Aditya Sharma,18,Male,918540402616,adityasharma@gmail.com,London,Semi-Urban,96.83,78.98,182.34701123021952,100.0,BCA
Krishna Miller,20,Female,917467067516,krishnamiller@gmail.com,Dubai,Semi-Urban,55.92,78.9,296.51,772.61,B.Tech CS
Aarav Sharma,17,Female,918489465411,aaravsharma@gmail.com,Bengaluru,Rural,99.77,58.73,128.89,564.47,B.Tech Civil
Aditya Taylor,19,Male,910035808756,adityataylor@gmail.com,Hyderabad,,98.22,,100.0,100.0,BCA
